Marca temporal,"Configuración 1: Pantalla 15.6"" - Procesador Intel i7 - Memoria RAM: 8GB - Almacenamiento 250GB (SSD) - Precio: 450USD","Configuración 2: Pantalla 14"" - Procesador Intel i5 - Memoria RAM: 16GB - Almacenamiento 250GB (SSD) - Precio: 450USD","Configuración 3: Pantalla 14"" - Procesador Intel i7 - Memoria RAM: 8GB - Almacenamiento 250GB (SSD) - Precio: 700USD","Configuración 4: Pantalla 15.6"" - Procesador Intel i3 - Memoria RAM: 32GB - Almacenamiento 250GB (SSD) - Precio: 700USD","Configuración 5: Pantalla 15.6"" - Procesador Intel i3 - Memoria RAM: 16GB - Almacenamiento 250GB (SSD) - Precio: 1300USD","Configuración 6: Pantalla 14"" - Procesador Intel i3 - Memoria RAM: 32GB - Almacenamiento 500GB (SSD) - Precio: 450USD","Configuración 7: Pantalla 15.6"" - Procesador Intel i7 - Memoria RAM: 32GB - Almacenamiento 500GB (SSD) - Precio: 450USD","Configuración 8: Pantalla 14"" - Procesador Intel i3 - Memoria RAM: 8GB - Almacenamiento 500GB (SSD) - Precio: 700USD","Configuración 9: Pantalla 15.6"" - Procesador Intel i5 - Memoria RAM: 16GB - Almacenamiento 500GB (SSD) - Precio: 700USD","Configuración 10: Pantalla 15.6"" - Procesador Intel i5 - Memoria RAM: 8GB - Almacenamiento 500GB (SSD) - Precio: 1300USD","Configuración 11: Pantalla 14"" - Procesador Intel i7 - Memoria RAM: 16GB - Almacenamiento 500GB (SSD) - Precio: 1300USD","Configuración 12: Pantalla 15.6"" - Procesador Intel i3 - Memoria RAM: 8GB - Almacenamiento 1TB (SSD) - Precio: 450USD","Configuración 13: Pantalla 14"" - Procesador Intel i3 - Memoria RAM: 16GB - Almacenamiento 1TB (SSD) - Precio: 450USD","Configuración 14: Pantalla 15.6"" - Procesador Intel i7 - Memoria RAM: 16GB - Almacenamiento 1TB (SSD) - Precio: 700USD","Configuración 15: Pantalla 14"" - Procesador Intel i5 - Memoria RAM: 32GB - Almacenamiento 1TB (SSD) - Precio: 1300USD"
9/20/2021 11:12:17,7,8,4,5,2,7,9,2,7,1,6,4,8,7,8
9/20/2021 11:18:40,8,7,8,5,5,6,7,3,6,5,6,8,7,9,7
9/20/2021 11:29:29,8,5,5,2,2,2,9,1,1,1,1,3,3,4,4
9/20/2021 11:35:50,8,6,5,5,4,5,9,5,9,7,6,5,5,9,8
9/20/2021 11:49:40,5,6,5,3,4,5,8,2,3,1,2,5,4,5,5
9/20/2021 11:54:17,6,5,5,3,4,4,7,5,6,5,7,5,5,4,6
9/20/2021 12:36:02,6,6,7,6,7,6,7,7,7,6,7,7,8,8,8
9/20/2021 14:14:43,6,7,6,8,4,8,5,7,5,6,6,8,8,5,6
9/20/2021 20:00:34,6,8,5,4,2,7,9,3,3,3,2,6,8,7,1
9/20/2021 20:02:49,9,7,2,7,1,7,9,4,7,1,6,7,7,8,6
9/20/2021 20:06:26,8,9,3,7,2,9,9,2,4,1,1,6,8,9,6
9/20/2021 20:10:55,8,9,6,7,1,8,9,3,1,1,8,1,9,1,7
9/20/2021 20:15:43,2,9,2,9,7,9,9,2,7,2,6,3,8,8,9
9/20/2021 20:16:41,2,4,2,2,1,7,7,7,7,6,6,9,9,8,7
9/20/2021 20:21:10,9,8,8,3,1,3,8,4,7,6,6,3,4,8,6
9/20/2021 20:26:14,7,8,5,6,2,8,9,4,6,2,1,6,7,4,1
9/21/2021 18:17:26,9,8,7,5,2,2,9,3,6,1,7,3,2,9,8
